BoM_Item_ID,Parent_Model_ID,Hausa_Model_Name,Component_Name,Quantity,Unit_of_Measure,Category_Key,SubCategory_Key,Quality_Key,Story,2D Symbol,3D Axonometry,Height (Z Size),Length (A),Width (B),Related Zone Number,Building Materials (All),2D_Symbol_URL,3D_Axonometry_URL,Imported_To_Project
SIP-68,HAU-002,U2 X3,4.76 SLANTED SILL SIP MGO 155 x 1220 mm - #6,2,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,619,1223,155,U2 X3 L,,,,
SIP-69,HAU-002,U2 X3,4.76 SLANTED SILL SIP MGO 155 x 1220 mm - #6,2,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,619,1223,155,U2 X3 R,,,,
SIP-692,HAU-002,U2 X3,WINDOW SIP MGO 155 x 1220 x 2750 mm - 1100 Sill 900 w 1300 h Opening - Left End - Lip,1,unit,SIP_PANELS,WINDOW_PANEL_UNIT,STANDARD_FIXED,First,,,2877,1220,156,U2 X3 R,,,,
SIP-79,HAU-002,U2 X3,4.76 SLANTED SILL SIP MGO 155 x 1220 mm - #7,2,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,518,1221,155,U2 X3 L,,,,
SIP-80,HAU-002,U2 X3,4.76 SLANTED SILL SIP MGO 155 x 1220 mm - #7,2,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,518,1221,155,U2 X3 R,,,,
WIN-10,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,"First, ",,,904×1.356,1190,2546,U3 X3 L,,,,
WIN-11,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,"First, ",,,486×1.308,1221,2529,U2 X2 L,,,,
WIN-12,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,Second,,,1.796×1.855,655,2510,U2 X3 L,,,,
WIN-13,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,Second,,,904×1.356,1190,2546,U2 X3 G L,,,,
WIN-14,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,Second,,,904×1.356,1190,2546,U3 X2 L,,,,
WIN-7,HAU-002,U2 X3,Triple Window 26,1,unit,WINDOWS,WINDOW_ALUMINUM,BASIC,Ground,,,2.057×1.341,1698,357,U2 X3 L,,,,
WIN-8,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,"First, ",,,1.829×1.877,652,2529,U2 X3 G L,,,,
WIN-9,HAU-002,U2 X3,Window 26,1,unit,WINDOWS,WINDOW_PVC,BASIC,"First, ",,,1.823×1.872,676,2548,U3 X3 L,,,,
BAT-14,HAU-002,U2 X3 ,Bathtub 26-2,1,unit,BATHROOM_FIXTURES,BATHTUB,BASIC,Second,,,600,1543,734,U3 X2 L,,,,
BAT-2,HAU-002,U2 X3 ,Basin 26-1,1,unit,BATHROOM_FIXTURES,BASIN,BASIC,Ground,,,140,600,450,U2 X3 L,,,,
BAT-20,HAU-002,U2 X3 ,Bidet 26,2,unit,BATHROOM_FIXTURES,BIDET,BASIC,Second,,,400,370,500,U3 X2 L,,,,
BAT-29,HAU-002,U2 X3 ,Shower Cabin 26-1,1,unit,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,BASIC,Ground,,,2100,800,800,U2 X2 L,,,,
BAT-31,HAU-002,U2 X3 ,Shower Cabin 26-2,1,unit,BATHROOM_FIXTURES,SHOWER_ENCLOSURE,BASIC,First,,,2100,800,800,U2 X3 G L,,,,
BAT-33,HAU-002,U2 X3 ,WC 26-1,1,unit,BATHROOM_FIXTURES,TOILET,BASIC,Ground,,,400,350,640,U3 X3 L,,,,
BAT-39,HAU-002,U2 X3 ,WC 26-2,1,unit,BATHROOM_FIXTURES,TOILET,BASIC,First,,,400,350,640,U3 X3 G L,,,,
BAT-44,HAU-002,U2 X3 ,WC 26-3,2,unit,BATHROOM_FIXTURES,TOILET,BASIC,Second,,,400,350,640,U2 X2 L,,,,
BAT-6,HAU-002,U2 X3 ,Basin 26-2,1,unit,BATHROOM_FIXTURES,BASIN,BASIC,First,,,140,600,450,U2 X2 L,,,,
BAT-8,HAU-002,U2 X3 ,Bathtub 26-1,1,unit,BATHROOM_FIXTURES,BATHTUB,BASIC,Second,,,600,1542,737,U2 X3 G L,,,,
KIT-12,HAU-002,U2 X3 ,Cabinet Base Double Door 21,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,833,600,U2 X3 L,,,,
KIT-18,HAU-002,U2 X3 ,Cabinet Base MultiDrawer 24-1,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,333,600,U2 X3 L,,,,
KIT-2,HAU-002,U2 X3 ,Cabinet Base Cooktop+Oven 21,1,unit,KITCHEN_FIXTURES,CABINET_COOKTOP_OVEN,BASIC,Ground,,,900,758,600,U2 X3 L,,,,
KIT-24,HAU-002,U2 X3 ,Cabinet Base MultiDrawer 24-2,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,510,600,U2 X3 L,,,,
KIT-30,HAU-002,U2 X3 ,Cabinet Base MultiDrawer 24-3,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,557,600,U2 X3 L,,,,
KIT-36,HAU-002,U2 X3 ,Cabinet Base MultiDrawer 24-4,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,600,600,U2 X3 L,,,,
KIT-41,HAU-002,U2 X3 ,Cabinet Base MultiDrawer 24-5,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,790,603,U2 X3 L,,,,
KIT-45,HAU-002,U2 X3 ,Cabinet Wall Corner L 24,1,unit,KITCHEN_FIXTURES,CABINET_SYSTEMS,BASIC,Ground,,,750,526,590,U2 X3 L,,,,
KIT-48,HAU-002,U2 X3 ,Cabinet Wall Double Door 24-1,1,unit,KITCHEN_FIXTURES,CABINET_SYSTEMS,BASIC,Ground,,,750,623,300,U2 X3 L,,,,
KIT-53,HAU-002,U2 X3 ,Cabinet Wall Double Door 24-2,1,unit,KITCHEN_FIXTURES,CABINET_SYSTEMS,BASIC,Ground,,,750,701,327,U2 X3 L,,,,
KIT-58,HAU-002,U2 X3 ,Cabinet Wall Double Door 24-3,1,unit,KITCHEN_FIXTURES,CABINET_SYSTEMS,BASIC,Ground,,,750,790,327,U2 X3 L,,,,
KIT-62,HAU-002,U2 X3 ,Cabinet Wall Double Door 24-4,1,unit,KITCHEN_FIXTURES,CABINET_SYSTEMS,BASIC,Ground,,,750,1165,300,U2 X3 L,,,,
KIT-66,HAU-002,U2 X3 ,Cabinet Wall Double Door 24-5,2,unit,KITCHEN_FIXTURES,CABINET_SYSTEMS,BASIC,Ground,,,750,852,300,U2 X3 L,,,,
KIT-69,HAU-002,U2 X3 ,Dishwasher Built-in 26,1,unit,KITCHEN_FIXTURES,DISHWASHER,BASIC,Ground,,,900,600,600,U2 X3 L,,,,
KIT-7,HAU-002,U2 X3 ,Cabinet Base Corner L 24,1,unit,KITCHEN_FIXTURES,BASE_CABINET,BASIC,Ground,,,900,1091,1172,U2 X3 L,,,,
KIT-75,HAU-002,U2 X3 ,Multi-Basin Counter 26-1,1,unit,KITCHEN_FIXTURES,COUNTERTOP,BASIC,Second,,,25,1127,496,U2 X3 L,,,,
KIT-81,HAU-002,U2 X3 ,Multi-Basin Counter 26-2,1,unit,KITCHEN_FIXTURES,COUNTERTOP,BASIC,Second,,,25,1318,499,U2 X3 L,,,,
KIT-92,HAU-002,U2 X3 ,Refrigerator #1046,1,unit,KITCHEN_FIXTURES,REFRIGERATOR,BASIC,Ground,,,1905,911,729,U2 X3 R,,,,
KIT-95,HAU-002,U2 X3 ,Sink Belfast 26,1,unit,KITCHEN_FIXTURES,SINK,BASIC,Ground,,,220,600,500,U2 X3 L,,,,
KIT-97,HAU-002,U2 X3 ,Washer 26,1,unit,KITCHEN_FIXTURES,DISHWASHER,BASIC,Ground,,,900,600,600,U2 X3 L,,,,
SIP-113,HAU-002,U2 X3 ,DOOR SIP MGO 110 x 1220 x 2630 mm - 900 mm Opening - Middle,2,unit,SIP_PANELS,DOOR_PANEL_UNIT,STANDARD_FIXED,First,,,2616,1270,110,U2 X3 R,,,,
SIP-114,HAU-002,U2 X3 ,DOOR SIP MGO 110 x 1220 x 2630 mm - 900 mm Opening - Middle,3,unit,SIP_PANELS,DOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,2616,1270,110,U2 X3 L,,,,
SIP-115,HAU-002,U2 X3 ,DOOR SIP MGO 110 x 1220 x 2630 mm - 900 mm Opening - Middle,1,unit,SIP_PANELS,DOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,2616,1270,110,U2 X3 R,,,,
SIP-121,HAU-002,U2 X3 ,DOOR SIP MGO 110 x 1220 x 2630 mm - 900 mm Opening - Neutral,1,unit,SIP_PANELS,DOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,2616,1220,109,U2 X3 R,,,,
SIP-131,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 1220 mm - Left End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,First,,,110,1265,1318,U2 X3 R,,,,
SIP-132,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 1220 mm - Left End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,110,1265,1318,U2 X3 R,,,,
SIP-136,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 1220 mm - Middle,2,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,First,,,110,1271,1318,U2 X3 R,,,,
SIP-137,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 1220 mm - Middle,3,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,110,1271,1318,U2 X3 R,,,,
SIP-141,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 1220 mm - Right End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,First,,,110,1220,1318,U2 X3 R,,,,
SIP-145,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Left End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Ground,,,110,1270,2440,U2 X3 L,,,,
SIP-146,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Left End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Ground,,,110,1270,2440,U2 X3 R,,,,
SIP-147,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Left End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,First,,,110,1270,2440,U2 X3 L,,,,
SIP-148,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Left End,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,110,1270,2440,U2 X3 L,,,,
SIP-169,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,1,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Ground,,,107,1271,2440,U2 X3 L,,,,
SIP-170,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,7,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Ground,,,110,1271,2440,U2 X3 L,,,,
SIP-171,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,8,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Ground,,,110,1271,2440,U2 X3 R,,,,
SIP-172,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,8,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,First,,,110,1271,2440,U2 X3 L,,,,
SIP-173,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,5,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,First,,,110,1271,2440,U2 X3 R,,,,
SIP-174,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,8,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,110,1271,2440,U2 X3 L,,,,
SIP-175,HAU-002,U2 X3 ,FLOOR SIP MGO 110 x 1220 x 2440 mm - Middle,5,unit,SIP_PANELS,FLOOR_PANEL_UNIT,STANDARD_FIXED,Second,,,110,1271,2440,U2 X3 R,,,,
SIP-199,HAU-002,U2 X3 ,PORTAL SIP MGO 155 x 1220 x 2750 mm - Left End - for Column,1,unit,SIP_PANELS,PORTAL_PANEL,STANDARD_FIXED,Ground,,,2751,1114,156,U2 X3 L,,,,
SIP-212,HAU-002,U2 X3 ,PORTAL SIP MGO 155 x 1220 x 2750 mm - Right End - for Column,1,unit,SIP_PANELS,PORTAL_PANEL,STANDARD_FIXED,Ground,,,2751,1241,157,U2 X3 L,,,,
SIP-230,HAU-002,U2 X3 ,SIP MGO BOARD - FULL CEILING - 10 x 1220 x 2440 mm,10,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,Ground,,,10,1220,2440,U2 X3 L,,,,
SIP-231,HAU-002,U2 X3 ,SIP MGO BOARD - FULL CEILING - 10 x 1220 x 2440 mm,6,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,Ground,,,10,1220,2440,U2 X3 R,,,,
SIP-232,HAU-002,U2 X3 ,SIP MGO BOARD - FULL CEILING - 10 x 1220 x 2440 mm,10,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,First,,,10,1220,2440,U2 X3 L,,,,
SIP-233,HAU-002,U2 X3 ,SIP MGO BOARD - FULL CEILING - 10 x 1220 x 2440 mm,6,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,First,,,10,1220,2440,U2 X3 R,,,,
SIP-234,HAU-002,U2 X3 ,SIP MGO BOARD - FULL CEILING - 10 x 1220 x 2440 mm,10,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,Second,,,10,1220,2440,U2 X3 L,,,,
SIP-235,HAU-002,U2 X3 ,SIP MGO BOARD - FULL CEILING - 10 x 1220 x 2440 mm,10,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,Second,,,10,1220,2440,U2 X3 R,,,,
SIP-259,HAU-002,U2 X3 ,SIP MGO BOARD - HALF CEILING - 10 x 1220 x 1220 mm,4,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,Ground,,,10,1220,1318,U2 X3 R,,,,
SIP-260,HAU-002,U2 X3 ,SIP MGO BOARD - HALF CEILING - 10 x 1220 x 1220 mm,4,unit,SIP_PANELS,CEILING_PANEL,STANDARD_FIXED,First,,,10,1220,1318,U2 X3 R,,,,
SIP-267,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1075 x 2630 mm - Left End,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,1075,110,U2 X3 L,,,,
SIP-268,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1075 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,1075,110,U2 X3 R,,,,
SIP-27,HAU-002,U2 X3 ,4.76 SLANTED END SIP MGO 155 x 1075 x 572 mm - Right End,1,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,435,1128,155,U2 X3 L,,,,
SIP-28,HAU-002,U2 X3 ,4.76 SLANTED END SIP MGO 155 x 1075 x 572 mm - Right End,1,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,435,1128,155,U2 X3 R,,,,
SIP-286,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1075 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2104,1075,110,U2 X3 R,,,,
SIP-287,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1075 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2616,1075,110,U2 X3 R,,,,
SIP-289,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1075 x 2630 mm - Right End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2628,1125,110,U2 X3 L,,,,
SIP-302,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,1220,110,U2 X3 R,,,,
SIP-317,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Middle,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,1270,110,U2 X3 L,,,,
SIP-318,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Middle,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,1270,110,U2 X3 R,,,,
SIP-319,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Middle,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,1270,110,U2 X3 L,,,,
SIP-320,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Middle,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,1270,110,U2 X3 R,,,,
SIP-336,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Right End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2629,1270,110,U2 X3 L,,,,
SIP-337,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Right End,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2616,1270,110,U2 X3 L,,,,
SIP-338,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Right End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,1270,110,U2 X3 R,,,,
SIP-339,HAU-002,U2 X3 ,WALL SIP MGO 110 x 1220 x 2630 mm - Right End,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,1270,110,U2 X3 L,,,,
SIP-359,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,263,110,U2 X3 R,,,,
SIP-360,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,305,110,U2 X3 R,,,,
SIP-361,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,349,110,U2 X3 R,,,,
SIP-362,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,373,110,U2 X3 R,,,,
SIP-363,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,415,110,U2 X3 L,,,,
SIP-364,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Left End,3,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,305,110,U2 X3 L,,,,
SIP-380,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Middle,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,422,110,U2 X3 R,,,,
SIP-381,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Middle,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,354,110,U2 X3 L,,,,
SIP-391,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2609,305,110,U2 X3 L,,,,
SIP-392,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2609,305,110,U2 X3 R,,,,
SIP-393,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2616,305,110,U2 X3 R,,,,
SIP-394,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2609,305,110,U2 X3 L,,,,
SIP-395,HAU-002,U2 X3 ,WALL SIP MGO 110 x 305 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,305,110,U2 X3 L,,,,
SIP-414,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2616,610,111,U2 X3 L,,,,
SIP-415,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Left End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,610,111,U2 X3 L,,,,
SIP-428,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Middle,4,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,656,110,U2 X3 L,,,,
SIP-439,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2616,610,110,U2 X3 L,,,,
SIP-440,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Neutral,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,First,,,2616,610,110,U2 X3 L,,,,
SIP-441,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Neutral,3,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,610,110,U2 X3 L,,,,
SIP-442,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,610,110,U2 X3 R,,,,
SIP-454,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Right End,2,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,661,110,U2 X3 L,,,,
SIP-455,HAU-002,U2 X3 ,WALL SIP MGO 110 x 610 x 2630 mm - Right End,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Second,,,2616,661,110,U2 X3 R,,,,
SIP-49,HAU-002,U2 X3 ,4.76 SLANTED END SIP MGO 155 x 1220 x 572 mm - Middle,8,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,435,1272,156,U2 X3 L,,,,
SIP-5,HAU-002,U2 X3 ,4.76 SLANTED END SIP MGO 155 x 1075 x 572 mm - Left End,1,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,435,1075,156,U2 X3 L,,,,
SIP-50,HAU-002,U2 X3 ,4.76 SLANTED END SIP MGO 155 x 1220 x 572 mm - Middle,8,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,435,1272,156,U2 X3 R,,,,
SIP-6,HAU-002,U2 X3 ,4.76 SLANTED END SIP MGO 155 x 1075 x 572 mm - Left End,1,unit,SIP_PANELS,SLANTED_ROOF_PANEL,STANDARD_FIXED,Roof,,,435,1075,156,U2 X3 R,,,,
SIP-638,HAU-002,U2 X3 ,WALL SIP MGO 155 x 610 x 2630 mm - Neutral,1,unit,SIP_PANELS,WALL_PANEL,STANDARD_FIXED,Ground,,,2646,610,155,U2 X3 R,,,,
SIP-91,HAU-002,U2 X3 ,DOOR SIP MGO 110 x 1075 x 2630 mm - 900 mm Opening - Neutral,1,unit,SIP_PANELS,DOOR_PANEL_UNIT,STANDARD_FIXED,Ground,,,2629,1077,114,U2 X3 L,,,,
CHA-113,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Ground,,,460,12200,2441,U2 X3 G L,,,,
CHA-114,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Ground,,,460,12200,2441,U2 X3 G R,,,,
CHA-115,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,460,12200,2441,U2 X3 G L,,,,
CHA-116,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Second,,,460,12200,2441,U2 X3 G L,,,,
CHA-137,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Quarter Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,458,12200,2441,U2 X3 G R,,,,
CHA-138,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Quarter Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Second,,,458,12200,2441,U2 X3 G R,,,,
CHA-140,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Quarter Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,458,12200,2441,U2 X3 G R,,,,
CHA-141,HAU-003,U2 X3 G,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Quarter Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Second,,,458,12200,2441,U2 X3 G R,,,,
CHA-151,HAU-003,U2 X3 G,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X3 G L,,,,
CHA-152,HAU-003,U2 X3 G,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X3 G R,,,,
CHA-161,HAU-003,U2 X3 G,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X3 G L,,,,
CHA-162,HAU-003,U2 X3 G,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X3 G R,,,,
CHA-173,HAU-003,U2 X3 G,3-3 - CHASSIS - FOUNDATIONS - 40 x 8 x 9 - Grid - Studs,1,unit,CHASSIS,CHASSIS_FOUNDATION,STANDARD_FIXED,Foundation,,,302,12200,2441,U2 X3 G L,,,,
